00 00 00
00 00 33
00 00 66
00 00 99
00 00 CC
00 00 FF
00 33 00
00 66 00
00 99 00
00 CC 00
00 FF 00
00 FF 33
00 FF 66
00 FF 99
00 FF CC
00 FF FF
00 CC CC
00 99 99
00 66 66
00 33 33
00 33 66
00 33 99
00 33 CC
00 33 FF
00 66 FF
00 99 FF
00 CC FF
00 CC 33
00 CC 66
00 CC 99
00 99 33
00 66 33
00 99 66
00 99 CC
00 66 CC
00 66 99
33 33 33
33 33 00
33 33 66
33 33 99
33 33 CC
33 33 FF
33 66 33
33 99 33
33 CC 33
33 FF 33
33 00 33
33 00 66
33 00 99
33 00 CC
33 00 FF
33 00 00
33 FF FF
33 CC CC
33 99 99
33 66 66
33 66 99
33 66 CC
33 66 FF
33 66 00
33 99 00
33 CC 00
33 FF 00
33 FF 66
33 FF 99
33 FF CC
33 CC 66
33 99 66
33 CC 99
33 CC FF
33 99 FF
33 99 CC
66 66 66
66 66 00
66 66 33
66 66 99
66 66 CC
66 66 FF
66 99 66
66 CC 66
66 FF 66
66 00 66
66 33 66
66 33 99
66 33 CC
66 33 FF
66 33 00
66 33 33
66 00 00
66 FF FF
66 CC CC
66 99 99
66 99 CC
66 99 FF
66 99 00
66 99 33
66 CC 33
66 FF 33
66 00 33
66 00 99
66 00 CC
66 00 FF
66 FF 99
66 CC 99
66 FF CC
66 FF 00
66 CC 00
66 CC FF
99 99 99
99 99 00
99 99 33
99 99 66
99 99 CC
99 99 FF
99 CC 99
99 FF 99
99 00 99
99 33 99
99 66 99
99 66 CC
99 66 FF
99 66 00
99 66 33
99 66 66
99 33 33
99 00 00
99 FF FF
99 CC CC
99 CC FF
99 CC 00
99 CC 33
99 CC 66
99 FF 66
99 00 66
99 33 66
99 33 CC
99 33 FF
99 33 00
99 00 CC
99 FF CC
99 00 FF
99 00 33
99 FF 33
99 FF 00
CC CC CC
CC CC 00
CC CC 33
CC CC 66
CC CC 99
CC CC FF
CC FF CC
CC 00 CC
CC 33 CC
CC 66 CC
CC 99 CC
CC 99 FF
CC 99 00
CC 99 33
CC 99 66
CC 99 99
CC 66 66
CC 33 33
CC 00 00
CC FF FF
CC FF 00
CC FF 33
CC FF 66
CC FF 99
CC 00 99
CC 33 99
CC 66 99
CC 66 FF
CC 66 00
CC 66 33
CC 33 FF
CC 00 FF
CC 33 00
CC 33 66
CC 00 66
CC 00 33
FF FF FF
FF FF 00
FF FF 33
FF FF 66
FF FF 99
FF FF CC
FF 00 FF
FF 33 FF
FF 66 FF
FF 99 FF
FF CC FF
FF CC 00
FF CC 33
FF CC 66
FF CC 99
FF CC CC
FF 99 99
FF 66 66
FF 33 33
FF 00 00
FF 00 33
FF 00 66
FF 00 99
FF 00 CC
FF 33 CC
FF 66 CC
FF 99 CC
FF 99 00
FF 99 33
FF 99 66
FF 66 00
FF 33 00
FF 66 33
FF 66 99
FF 33 99
FF 33 66
